<MY_LOC>, <SERVER_IP>, <SERVER_LOC>, <RTT1, RTT2, ... RTT10>{lat: 12.99, lon: 80.23},	103.159.84.142,	{'lat': 20.0, 'lon': 77.0},	< 204.0,  109.0,  81.4,  88.6,  96.3,  90.5,  95.2,  96.6,  95.3,  95.5, >
{lat: 12.99, lon: 80.23},	103.1.14.238,	{'lat': 22.248310089111328, 'lon': 114.15239715576172},	< 302.0,  304.0,  296.0,  300.0,  301.0,  298.0,  299.0,  297.0,  206.0,  291.0, >
{lat: 12.99, lon: 80.23},	47.94.129.116,	{'lat': 30.235559463500977, 'lon': 120.15888977050781},	< 507.0,  503.0,  508.0,  502.0,  501.0,  507.0,  529.0,  502.0,  502.0,  504.0, >
{lat: 12.99, lon: 80.23},	185.229.226.83,	{'lat': 31.299999237060547, 'lon': 34.45000076293945},	< 210.0,  212.0,  210.0,  210.0,  213.0,  212.0,  210.0,  219.0,  210.0,  211.0, >
{lat: 12.99, lon: 80.23},	110.50.243.6,	{'lat': 35.69628143310547, 'lon': 139.73855590820312},	< 119.0,  120.0,  122.0,  119.0,  119.0,  119.0,  123.0,  119.0,  119.0,  119.0, >
{lat: 12.99, lon: 80.23},	46.248.187.100,	{'lat': 52.2317008972168, 'lon': 21.018339157104492},	< 193.0,  215.0,  203.0,  195.0,  196.0,  197.0,  198.0,  201.0,  199.0,  198.0, >
{lat: 12.99, lon: 80.23},	185.206.224.67,	{'lat': 55.680511474609375, 'lon': 12.58782958984375},	< 171.0,  170.0,  177.0,  170.0,  174.0,  178.0,  178.0,  169.0,  171.0,  177.0, >
{lat: 12.99, lon: 80.23},	195.201.213.247,	{'lat': 49.11594009399414, 'lon': 10.753399848937988},	< 160.0,  162.0,  154.0,  154.0,  154.0,  157.0,  161.0,  154.0,  155.0,  154.0, >
{lat: 12.99, lon: 80.23},	95.142.107.18,	{'lat': 52.309051513671875, 'lon': 4.940189838409424},	< -,  -,  -,  -,  -,  -,  -,  -,  -,  -, >
{lat: 12.99, lon: 80.23},	51.158.22.211,	{'lat': 48.88140106201172, 'lon': 2.3364999294281006},	< 159.0,  170.0,  198.0,  193.0,  197.0,  255.0,  198.0,  197.0,  198.0,  194.0, >
{lat: 12.99, lon: 80.23},	197.221.23.194,	{'lat': -33.64500045776367, 'lon': 19.443599700927734},	< 401.0,  402.0,  399.0,  401.0,  398.0,  519.0,  386.0,  341.0,  361.0,  399.0, >
{lat: 12.99, lon: 80.23},	5.152.197.179,	{'lat': 50.79999923706055, 'lon': -1.1330000162124634},	< 201.0,  197.0,  197.0,  194.0,  199.0,  198.0,  194.0,  194.0,  194.0,  170.0, >
{lat: 12.99, lon: 80.23},	195.12.50.155,	{'lat': 40.42618179321289, 'lon': -3.6851398944854736},	< 223.0,  198.0,  196.0,  194.0,  197.0,  195.0,  198.0,  201.0,  191.0,  195.0, >
{lat: 12.99, lon: 80.23},	139.130.4.5,	{'lat': -37.81425094604492, 'lon': 144.96316528320312},	< 303.0,  298.0,  297.0,  302.0,  269.0,  327.0,  300.0,  299.0,  300.0,  304.0, >
{lat: 12.99, lon: 80.23},	101.0.86.43,	{'lat': -33.86714172363281, 'lon': 151.2071075439453},	< 196.0,  195.0,  196.0,  197.0,  186.0,  206.0,  197.0,  195.0,  196.0,  199.0, >
{lat: 12.99, lon: 80.23},	184.107.126.165,	{'lat': 45.46699905395508, 'lon': -73.543701171875},	< 297.0,  297.0,  299.0,  301.0,  399.0,  298.0,  299.0,  299.0,  267.0,  331.0, >
{lat: 12.99, lon: 80.23},	207.228.238.7,	{'lat': 41.1555290222168, 'lon': -73.99075317382812},	< 298.0,  296.0,  268.0,  268.0,  257.0,  298.0,  300.0,  298.0,  299.0,  298.0, >
{lat: 12.99, lon: 80.23},	206.71.50.230,	{'lat': 40.65724182128906, 'lon': -74.00286865234375},	< 299.0,  297.0,  230.0,  296.0,  299.0,  293.0,  299.0,  298.0,  295.0,  299.0, >
{lat: 12.99, lon: 80.23},	65.49.22.66,	{'lat': 44.93484115600586, 'lon': -93.66797637939453},	< 330.0,  291.0,  301.0,  296.0,  302.0,  307.0,  293.0,  240.0,  352.0,  299.0, >
{lat: 12.99, lon: 80.23},	131.255.7.26,	{'lat': -34.611778259277344, 'lon': -58.41730880737305},	< 506.0,  502.0,  452.0,  452.0,  508.0,  503.0,  405.0,  499.0,  505.0,  509.0, >
